source_pdf,doi,base_composition,sample_id,full_formula,num_dopants,is_codoped,primary_dopant_element,primary_dopant_pct,primary_dopant_site,codopant_elements,all_dopants_detail,property,value,unit,temperature_value,temperature_unit,source_type,source_detail,notes
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,(AgSbTe2)1-x(Ag2Te)x (x=0.1),(AgSbTe2)0.9(Ag2Te)0.1,1,No,Ag2Te,x=0.1,unclear,,Ag2Te (x=0.1) @ unclear site,,,,,,,,
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,(AgSbTe2)1-x(Ag2Te)x (x=0.2),(AgSbTe2)0.8(Ag2Te)0.2,1,No,Ag2Te,x=0.2,unclear,,Ag2Te (x=0.2) @ unclear site,,,,,,,,
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0",AgSbTe2,1,No,Ag2Te,x=0,unclear,,Ag2Te (x=0) @ unclear site,Seebeck coefficient,140,uV/K,room temperature,K,figure,Fig. 2,Visually estimated from Fig. 2 at 2.0 GPa
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0",AgSbTe2,1,No,Ag2Te,x=0,unclear,,Ag2Te (x=0) @ unclear site,Seebeck coefficient,80,uV/K,room temperature,K,figure,Fig. 2,Visually estimated from Fig. 2 at 4.5 GPa
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0",AgSbTe2,1,No,Ag2Te,x=0,unclear,,Ag2Te (x=0) @ unclear site,electrical conductivity,1.72,mOhm*cm (resistivity),room temperature,K,figure,Fig. 3,"Visually estimated from Fig. 3 at 2.0 GPa (resistivity value 5.8 mOhm*cm mentioned in text for 2.0 GPa, plot shows ~5.8)"
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0",AgSbTe2,1,No,Ag2Te,x=0,unclear,,Ag2Te (x=0) @ unclear site,power factor,3.5,10^-4 W/mK^2,room temperature,K,figure,Fig. 4,Visually estimated from Fig. 4 at 2.0 GPa
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.05",(AgSbTe2)0.95(Ag2Te)0.05,1,No,Ag2Te,x=0.05,unclear,,Ag2Te (x=0.05) @ unclear site,Seebeck coefficient,132,uV/K,room temperature,K,figure,Fig. 2,Visually estimated from Fig. 2 at 2.0 GPa
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.05",(AgSbTe2)0.95(Ag2Te)0.05,1,No,Ag2Te,x=0.05,unclear,,Ag2Te (x=0.05) @ unclear site,Seebeck coefficient,75,uV/K,room temperature,K,figure,Fig. 2,Visually estimated from Fig. 2 at 4.5 GPa
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.05",(AgSbTe2)0.95(Ag2Te)0.05,1,No,Ag2Te,x=0.05,unclear,,Ag2Te (x=0.05) @ unclear site,power factor,4.2,10^-4 W/mK^2,room temperature,K,figure,Fig. 4,Visually estimated from Fig. 4 at 2.0 GPa
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.1",(AgSbTe2)0.9(Ag2Te)0.1,1,No,Ag2Te,x=0.1,unclear,,Ag2Te (x=0.1) @ unclear site,Seebeck coefficient,120,uV/K,room temperature,K,figure,Fig. 2,Visually estimated from Fig. 2 at 2.0 GPa
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.1",(AgSbTe2)0.9(Ag2Te)0.1,1,No,Ag2Te,x=0.1,unclear,,Ag2Te (x=0.1) @ unclear site,Seebeck coefficient,65,uV/K,room temperature,K,figure,Fig. 2,Visually estimated from Fig. 2 at 4.5 GPa
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.1",(AgSbTe2)0.9(Ag2Te)0.1,1,No,Ag2Te,x=0.1,unclear,,Ag2Te (x=0.1) @ unclear site,power factor,3.8,10^-4 W/mK^2,room temperature,K,figure,Fig. 4,Visually estimated from Fig. 4 at 2.0 GPa
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.2",(AgSbTe2)0.8(Ag2Te)0.2,1,No,Ag2Te,x=0.2,unclear,,Ag2Te (x=0.2) @ unclear site,Seebeck coefficient,110,uV/K,room temperature,K,figure,Fig. 2,Visually estimated from Fig. 2 at 2.0 GPa
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.2",(AgSbTe2)0.8(Ag2Te)0.2,1,No,Ag2Te,x=0.2,unclear,,Ag2Te (x=0.2) @ unclear site,Seebeck coefficient,60,uV/K,room temperature,K,figure,Fig. 2,Visually estimated from Fig. 2 at 4.5 GPa
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.2",(AgSbTe2)0.8(Ag2Te)0.2,1,No,Ag2Te,x=0.2,unclear,,Ag2Te (x=0.2) @ unclear site,power factor,3.2,10^-4 W/mK^2,room temperature,K,figure,Fig. 4,Visually estimated from Fig. 4 at 2.0 GPa
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.78Sb1.22Te2.22,Ag0.78Sb1.22Te2.22,0,No,,,,,,electrical conductivity,3.48,10^4 Sm^-1,300,K,Table 1,,
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.78Sb1.22Te2.22,Ag0.78Sb1.22Te2.22,0,No,,,,,,Seebeck coefficient,188,uV K^-1,300,K,Table 1,,
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.81Sb1.19Te2.19,Ag0.81Sb1.19Te2.19,0,No,,,,,,electrical conductivity,2.63,10^4 Sm^-1,300,K,Table 1,,
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.81Sb1.19Te2.19,Ag0.81Sb1.19Te2.19,0,No,,,,,,Seebeck coefficient,231,uV K^-1,300,K,Table 1,,
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.84Sb1.16Te2.16,Ag0.84Sb1.16Te2.16,0,No,,,,,,electrical conductivity,2.69,10^4 Sm^-1,300,K,Table 1,,
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.84Sb1.16Te2.16,Ag0.84Sb1.16Te2.16,0,No,,,,,,Seebeck coefficient,295,uV K^-1,300,K,Table 1,,
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.84Sb1.16Te2.16,Ag0.84Sb1.16Te2.16,0,No,,,,,,power factor,2.35,10^-3 W m^-1 K^-2,300,K,body text,,
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.84Sb1.16Te2.16,Ag0.84Sb1.16Te2.16,0,No,,,,,,ZT,1.53,dimensionless,500,K,body text,,
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.87Sb1.13Te2.13,Ag0.87Sb1.13Te2.13,0,No,,,,,,electrical conductivity,2.79,10^4 Sm^-1,300,K,Table 1,,
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.87Sb1.13Te2.13,Ag0.87Sb1.13Te2.13,0,No,,,,,,Seebeck coefficient,250,uV K^-1,300,K,Table 1,,
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.90Sb1.10Te2.10,Ag0.90Sb1.10Te2.10,0,No,,,,,,electrical conductivity,2.33,10^4 Sm^-1,300,K,Table 1,,
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.90Sb1.10Te2.10,Ag0.90Sb1.10Te2.10,0,No,,,,,,Seebeck coefficient,281,uV K^-1,300,K,Table 1,,
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.90Sb1.10Te2.10,Ag0.90Sb1.10Te2.10,0,No,,,,,,ZT,1.53,dimensionless,673,K,body text,,
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.93Sb1.07Te2.07,Ag0.93Sb1.07Te2.07,0,No,,,,,,electrical conductivity,1.89,10^4 Sm^-1,300,K,Table 1,,
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.93Sb1.07Te2.07,Ag0.93Sb1.07Te2.07,0,No,,,,,,Seebeck coefficient,254,uV K^-1,300,K,Table 1,,
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.78Sb1.22Te2.22,Ag0.78Sb1.22Te2.22,1,No,Ag,0.78,Ag,,Ag (0.78) @ Ag site,Seebeck coefficient,188,uV K-1,,,table,Table 1,Room temperature value
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.78Sb1.22Te2.22,Ag0.78Sb1.22Te2.22,1,No,Ag,0.78,Ag,,Ag (0.78) @ Ag site,electrical conductivity,3.48,10^4 Sm-1,,,table,Table 1,Room temperature value
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.81Sb1.19Te2.19,Ag0.81Sb1.19Te2.19,1,No,Ag,0.81,Ag,,Ag (0.81) @ Ag site,Seebeck coefficient,231,uV K-1,,,table,Table 1,Room temperature value
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.81Sb1.19Te2.19,Ag0.81Sb1.19Te2.19,1,No,Ag,0.81,Ag,,Ag (0.81) @ Ag site,electrical conductivity,2.63,10^4 Sm-1,,,table,Table 1,Room temperature value
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.84Sb1.16Te2.16,Ag0.84Sb1.16Te2.16,1,No,Ag,0.84,Ag,,Ag (0.84) @ Ag site,Seebeck coefficient,295,uV K-1,,,table,Table 1,Room temperature value
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.84Sb1.16Te2.16,Ag0.84Sb1.16Te2.16,1,No,Ag,0.84,Ag,,Ag (0.84) @ Ag site,electrical conductivity,2.69,10^4 Sm-1,,,table,Table 1,Room temperature value
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.87Sb1.13Te2.13,Ag0.87Sb1.13Te2.13,1,No,Ag,0.87,Ag,,Ag (0.87) @ Ag site,Seebeck coefficient,250,uV K-1,,,table,Table 1,Room temperature value
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.87Sb1.13Te2.13,Ag0.87Sb1.13Te2.13,1,No,Ag,0.87,Ag,,Ag (0.87) @ Ag site,electrical conductivity,2.79,10^4 Sm-1,,,table,Table 1,Room temperature value
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.90Sb1.10Te2.10,Ag0.90Sb1.10Te2.10,1,No,Ag,0.90,Ag,,Ag (0.90) @ Ag site,Seebeck coefficient,281,uV K-1,,,table,Table 1,Room temperature value
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.90Sb1.10Te2.10,Ag0.90Sb1.10Te2.10,1,No,Ag,0.90,Ag,,Ag (0.90) @ Ag site,electrical conductivity,2.33,10^4 Sm-1,,,table,Table 1,Room temperature value
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.93Sb1.07Te2.07,Ag0.93Sb1.07Te2.07,1,No,Ag,0.93,Ag,,Ag (0.93) @ Ag site,Seebeck coefficient,254,uV K-1,,,table,Table 1,Room temperature value
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.93Sb1.07Te2.07,Ag0.93Sb1.07Te2.07,1,No,Ag,0.93,Ag,,Ag (0.93) @ Ag site,electrical conductivity,1.89,10^4 Sm-1,,,table,Table 1,Room temperature value
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98In0.02SbTe2,Tl0.98In0.02SbTe2,1,No,In,0.02,Tl,,In (0.02) @ Tl site,electrical conductivity,490,U-1cm-1,372,K,body text,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98In0.02SbTe2,Tl0.98In0.02SbTe2,1,No,In,0.02,Tl,,In (0.02) @ Tl site,electrical conductivity,118,U-1cm-1,620,K,body text,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98In0.02SbTe2,Tl0.98In0.02SbTe2,1,No,In,0.02,Tl,,In (0.02) @ Tl site,Seebeck coefficient,141,mV K-1,372,K,body text,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98In0.02SbTe2,Tl0.98In0.02SbTe2,1,No,In,0.02,Tl,,In (0.02) @ Tl site,Seebeck coefficient,227,mV K-1,623,K,body text,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98In0.02SbTe2,Tl0.98In0.02SbTe2,1,No,In,0.02,Tl,,In (0.02) @ Tl site,thermal conductivity,1.03,W m-1K-1,371,K,body text,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98In0.02SbTe2,Tl0.98In0.02SbTe2,1,No,In,0.02,Tl,,In (0.02) @ Tl site,thermal conductivity,0.70,W m-1K-1,575,K,body text,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98In0.02SbTe2,Tl0.98In0.02SbTe2,1,No,In,0.02,Tl,,In (0.02) @ Tl site,ZT,0.61,dimensionless,480,K,body text,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,TlSb0.98In0.02Te2,TlSb0.98In0.02Te2,1,No,In,0.02,Sb,,In (0.02) @ Sb site,electrical conductivity,695,U-1cm-1,379,K,body text,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,TlSb0.98In0.02Te2,TlSb0.98In0.02Te2,1,No,In,0.02,Sb,,In (0.02) @ Sb site,electrical conductivity,155,U-1cm-1,675,K,body text,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,TlSb0.98In0.02Te2,TlSb0.98In0.02Te2,1,No,In,0.02,Sb,,In (0.02) @ Sb site,Seebeck coefficient,113,mV K-1,not specified,K,body text,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,TlSb0.98In0.02Te2,TlSb0.98In0.02Te2,1,No,In,0.02,Sb,,In (0.02) @ Sb site,Seebeck coefficient,235,mV K-1,not specified,K,body text,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,TlSb0.98In0.02Te2,TlSb0.98In0.02Te2,1,No,In,0.02,Sb,,In (0.02) @ Sb site,ZT,0.77,dimensionless,622,K,body text,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98Yb0.02SbTe2,Tl0.98Yb0.02SbTe2,1,No,Yb,0.02,Tl,,Yb (0.02) @ Tl site,electrical conductivity,218,U-1cm-1,625,K,body text,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98Yb0.02SbTe2,Tl0.98Yb0.02SbTe2,1,No,Yb,0.02,Tl,,Yb (0.02) @ Tl site,Seebeck coefficient,213,mV K-1,625,K,body text,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98Yb0.02SbTe2,Tl0.98Yb0.02SbTe2,1,No,Yb,0.02,Tl,,Yb (0.02) @ Tl site,thermal conductivity,0.68,W m-1K-1,625,K,body text,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98Yb0.02SbTe2,Tl0.98Yb0.02SbTe2,1,No,Yb,0.02,Tl,,Yb (0.02) @ Tl site,ZT,0.85,dimensionless,625,K,body text,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98Yb0.02SbTe2,Tl0.98Yb0.02SbTe2,1,No,Yb,0.02,Tl,,Yb (0.02) @ Tl site,electrical conductivity,1000,Ω-1cm-1,300,K,figure,Fig. 6a,Visually estimated from Fig. 6a
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98Yb0.02SbTe2,Tl0.98Yb0.02SbTe2,1,No,Yb,0.02,Tl,,Yb (0.02) @ Tl site,electrical conductivity,200,Ω-1cm-1,625,K,figure,Fig. 6a,Visually estimated from Fig. 6a
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98Yb0.02SbTe2,Tl0.98Yb0.02SbTe2,1,No,Yb,0.02,Tl,,Yb (0.02) @ Tl site,Seebeck coefficient,100,μV K-1,300,K,figure,Fig. 6b,Visually estimated from Fig. 6b
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98Yb0.02SbTe2,Tl0.98Yb0.02SbTe2,1,No,Yb,0.02,Tl,,Yb (0.02) @ Tl site,Seebeck coefficient,225,μV K-1,625,K,figure,Fig. 6b,Visually estimated from Fig. 6b
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,"Te(1-x)(AgSbTe2)x, x=0.005",Te0.995(AgSbTe2)0.005,2,Yes,Ag,0.5%,unclear,Sb (0.5%) @ Te,Ag (0.5%) @ unclear site; Sb (0.5%) @ Te site,power factor,13.8,μW cm−1 K−2,475,K,body text,,
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,"Te(1-x)(AgSbTe2)x, x=0.005",Te0.995(AgSbTe2)0.005,2,Yes,Ag,0.5%,unclear,Sb (0.5%) @ Te,Ag (0.5%) @ unclear site; Sb (0.5%) @ Te site,Seebeck coefficient,149,μV/K,300,K,body text,,
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,"Te(1-x)(AgSbTe2)x, x=0.005",Te0.995(AgSbTe2)0.005,2,Yes,Ag,0.5%,unclear,Sb (0.5%) @ Te,Ag (0.5%) @ unclear site; Sb (0.5%) @ Te site,Seebeck coefficient,250,μV/K,650,K,body text,,
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,"Te(1-x)(AgSbTe2)x, x=0.005",Te0.995(AgSbTe2)0.005,2,Yes,Ag,0.5%,unclear,Sb (0.5%) @ Te,Ag (0.5%) @ unclear site; Sb (0.5%) @ Te site,electrical conductivity,2.2,mΩ⋅cm,300,K,body text,,Reported as resistivity
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,"Te(1-x)(AgSbTe2)x, x=0.005",Te0.995(AgSbTe2)0.005,2,Yes,Ag,0.5%,unclear,Sb (0.5%) @ Te,Ag (0.5%) @ unclear site; Sb (0.5%) @ Te site,electrical conductivity,8,mΩ⋅cm,650,K,body text,,Reported as resistivity
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,"Te(1-x)(AgSbTe2)x, x=0.01",Te0.99(AgSbTe2)0.01,2,Yes,Ag,1.0%,unclear,Sb (1.0%) @ Te,Ag (1.0%) @ unclear site; Sb (1.0%) @ Te site,ZT,0.85,dimensionless,650,K,body text,,
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,"Te(1-x)(AgSbTe2)x, x=0.01",Te0.99(AgSbTe2)0.01,2,Yes,Ag,1.0%,unclear,Sb (1.0%) @ Te,Ag (1.0%) @ unclear site; Sb (1.0%) @ Te site,lattice thermal conductivity,0.62,W m−1 K−1,650,K,body text,,
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,x=0%,Te,0,No,,,,,,Seebeck coefficient,350,µV/K,300,K,figure,Fig. 2a,Visually estimated from Fig. 2a
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,x=0%,Te,0,No,,,,,,Seebeck coefficient,150,µV/K,650,K,figure,Fig. 2a,Visually estimated from Fig. 2a
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,x=0%,Te,0,No,,,,,,electrical conductivity,0.2,mΩ·cm,300,K,figure,Fig. 2b,"Visually estimated from Fig. 2b (plotted as resistivity, 1/rho)"
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,x=0%,Te,0,No,,,,,,power factor,2,µW cm^-1 K^-2,300,K,figure,Fig. 2c,Visually estimated from Fig. 2c
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,x=0%,Te,0,No,,,,,,thermal conductivity,2.1,Wm^-1K^-1,300,K,figure,Fig. 4a,Visually estimated from Fig. 4a
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,x=0%,Te,0,No,,,,,,lattice thermal conductivity,1.7,Wm^-1K^-1,300,K,figure,Fig. 4b,Visually estimated from Fig. 4b
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,x=0.5%,Te0.995(AgSbTe2)0.005,2,Yes,Ag,0.5%,unclear,Sb (0.5%) @ unclear,Ag (0.5%) @ unclear site; Sb (0.5%) @ unclear site,Seebeck coefficient,150,µV/K,300,K,figure,Fig. 2a,Visually estimated from Fig. 2a
