doi,source_pdf,base_composition,sample_id,full_formula,num_dopants,is_codoped,primary_dopant_element,primary_dopant_ratio,primary_dopant_site,codopant_elements,all_dopants_detail,power_factor,seebeck_coefficient,electrical_conductivity,ZT,temperature
10.1016/j.actamat.2021.117443,1-s2.0-S1359645421008223-main.pdf,AgSbTe2,HT673,AgSb0.998Ce0.002Te2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,0.96 mW/m·K2,,,,298 K
10.1016/j.actamat.2021.117443,1-s2.0-S1359645421008223-main.pdf,AgSbTe2,HT673,AgSb0.998Ce0.002Te2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,,274 μV/K,1.33e4 S/cm,,300 K
10.1016/j.actamat.2021.117443,1-s2.0-S1359645421008223-main.pdf,AgSbTe2,HT673,AgSb0.998Ce0.002Te2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,1.39 mW/m·K2,,,,573 K
10.1016/j.actamat.2021.117443,1-s2.0-S1359645421008223-main.pdf,AgSbTe2,HT673,AgSb0.998Ce0.002Te2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,1.41 mW/m·K2,,,1.49 dimensionless,673 K
10.1016/j.actamat.2021.117443,1-s2.0-S1359645421008223-main.pdf,AgSbTe2,HT673,0.2 mol% Ce-doped AgSbTe2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,,,,1.49 dimensionless,673 K
10.1016/j.actamat.2021.117443,1-s2.0-S1359645421008223-main.pdf,AgSbTe2,HT673,0.2 mol% Ce-doped AgSbTe2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,,274 uV/K,1.33e4 S/m,,not reported
10.1016/j.actamat.2021.117443,1-s2.0-S1359645421008223-main.pdf,AgSbTe2,as-sintered,AgSb0.998Ce0.002Te2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,,127 μV/K,3.02e4 S/cm,,300 K
10.1016/j.actamat.2021.117443,1-s2.0-S1359645421008223-main.pdf,AgSbTe2,as-sintered,AgSb0.998Ce0.002Te2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,,,,1.5 dimensionless,673 K
10.1016/j.actamat.2021.117443,1-s2.0-S1359645421008223-main.pdf,AgSbTe2,as-sintered,0.2 mol% Ce-doped AgSbTe2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,,,,0.5 dimensionless,673 K
10.1016/j.actamat.2021.117443,1-s2.0-S1359645421008223-main.pdf,AgSbTe2,as-sintered,0.2 mol% Ce-doped AgSbTe2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,,127 uV/K,3.02e4 S/m,,not reported
10.1016/j.actamat.2022.117681,1-s2.0-S1359645422000684-main.pdf,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,(Sn0.9Pb0.1Se)0.6(AgSbTe2)0.4,(Sn0.9Pb0.1Se)0.6(AgSbTe2)0.4,1,No,Pb,10%,Sn,,Pb (10%) @ Sn site,,,,1.20 dimensionless,723 K
10.1016/j.actamat.2022.117681,1-s2.0-S1359645422000684-main.pdf,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,(SnSe)0.6(AgSbTe2)0.4,(SnSe)0.6(AgSbTe2)0.4,0,No,,,,,,9.0 μWcm-1K-2,100 uV K-1,600 S cm-1,,300 K
10.1016/j.actamat.2022.117681,1-s2.0-S1359645422000684-main.pdf,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,(SnSe)0.6(AgSbTe2)0.4,(SnSe)0.6(AgSbTe2)0.4,0,No,,,,,,13 μWcm-1K-2,,,0.94 dimensionless,723 K
10.1016/j.actamat.2022.117681,1-s2.0-S1359645422000684-main.pdf,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,"(SnSe)1-m(AgSbTe2)m, m=0%",SnSe,0,No,,,,,,0.5 uW cm-1 K-2,500 uV K-1,100 S cm-1,0.1 dimensionless,300 K
10.1016/j.actamat.2022.117681,1-s2.0-S1359645422000684-main.pdf,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,x=0%,"(Sn1-xPbxSe)0.6(AgSbTe2)0.4, x=0",0,No,,,,,,,150 uV K-1,650 S cm-1,,300 K
10.1016/j.actamat.2022.117681,1-s2.0-S1359645422000684-main.pdf,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,x=0%,"(Sn1-xPbxSe)0.6(AgSbTe2)0.4, x=0",0,No,,,,,,12.5 uW cm-1K-2,,,,600 K
10.1016/j.actamat.2022.117681,1-s2.0-S1359645422000684-main.pdf,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,x=0%,"(Sn1-xPbxSe)0.6(AgSbTe2)0.4, x=0",0,No,,,,,,,,,0.8 dimensionless,773 K
10.1016/j.actamat.2022.117681,1-s2.0-S1359645422000684-main.pdf,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,x=0%,"(Sn1-xPbxSe)0.6(AgSbTe2)0.4, x=0",0,No,,,,,,,200 uV K-1,300 S cm-1,,800 K
10.1016/j.actamat.2022.117681,1-s2.0-S1359645422000684-main.pdf,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,x=10%,"(Sn1-xPbxSe)0.6(AgSbTe2)0.4, x=0.10",1,No,Pb,10%,Sn,,Pb (10%) @ Sn site,,,,1.2 dimensionless,723 K
10.1016/j.actamat.2025.120985,1-s2.0-S1359645425002769-main.pdf,AgSbTe2,QA-AgSbTe2 (A = 0 h),AgSbTe2,0,No,,,,,,,240 uV K^-1,1.21e4 S m-1 | 1.40e4 S m-1 | 8.24e3 S m-1,,300 K
10.1016/j.actamat.2025.120985,1-s2.0-S1359645425002769-main.pdf,AgSbTe2,QA-AgSbTe2 (A = 0 h),AgSbTe2,1,No,Ag vacancy,0 h annealing,Ag,,Ag vacancy (0 h annealing) @ Ag site,,,,0.6 dimensionless,300 K
10.1016/j.actamat.2025.120985,1-s2.0-S1359645425002769-main.pdf,AgSbTe2,QA-AgSbTe2 (A = 0 h),AgSbTe2,1,No,Ag vacancy,0 h annealing,Ag,,Ag vacancy (0 h annealing) @ Ag site,,,,0.8 dimensionless,400 K
10.1016/j.actamat.2025.120985,1-s2.0-S1359645425002769-main.pdf,AgSbTe2,QA-AgSbTe2 (A = 0 h),AgSbTe2,1,No,Ag vacancy,0 h annealing,Ag,,Ag vacancy (0 h annealing) @ Ag site,,,,0.9 dimensionless,500 K
10.1016/j.actamat.2025.120985,1-s2.0-S1359645425002769-main.pdf,AgSbTe2,QA-AgSbTe2 (A = 0 h),AgSbTe2,0,No,,,,,,7.11 uW cm-1 K-2 | 8.22 uW cm-1 K-2,298.37 uV K-1,,1.18 dimensionless,548 K
10.1016/j.actamat.2025.120985,1-s2.0-S1359645425002769-main.pdf,AgSbTe2,QA-AgSbTe2 (A = 0 h),AgSbTe2,1,No,Ag vacancy,0 h annealing,Ag,,Ag vacancy (0 h annealing) @ Ag site,,,,0.9 dimensionless,600 K
10.1016/j.actamat.2025.120985,1-s2.0-S1359645425002769-main.pdf,AgSbTe2,QA-AgSbTe2 (A = 0 h),AgSbTe2,0,No,,,,,,,,,0.94 dimensionless,300-633 K
10.1016/j.actamat.2025.120985,1-s2.0-S1359645425002769-main.pdf,AgSbTe2,QA-AgSbTe2 (A = 12 h),AgSbTe2,1,No,Ag vacancy,12 h annealing,Ag,,Ag vacancy (12 h annealing) @ Ag site,,,,0.5 dimensionless,300 K
10.1016/j.actamat.2025.120985,1-s2.0-S1359645425002769-main.pdf,AgSbTe2,QA-AgSbTe2 (A = 12 h),AgSbTe2,1,No,Ag vacancy,12 h annealing,Ag,,Ag vacancy (12 h annealing) @ Ag site,,,,0.8 dimensionless,400 K
10.1016/j.actamat.2025.120985,1-s2.0-S1359645425002769-main.pdf,AgSbTe2,QA-AgSbTe2 (A = 12 h),AgSbTe2,1,No,Ag vacancy,12 h annealing,Ag,,Ag vacancy (12 h annealing) @ Ag site,,,,1.0 dimensionless,500 K
10.1016/j.actamat.2025.120985,1-s2.0-S1359645425002769-main.pdf,AgSbTe2,QA-AgSbTe2 (A = 12 h),AgSbTe2,1,No,Ag vacancy,12 h annealing,Ag,,Ag vacancy (12 h annealing) @ Ag site,,,,1.1 dimensionless,600 K
10.1016/j.actamat.2025.120985,1-s2.0-S1359645425002769-main.pdf,AgSbTe2,QA-AgSbTe2 (A = 24 h),AgSbTe2,0,No,,,,,,,,1.4 10^4 S m^-1,,300 K
10.1016/j.actamat.2025.120985,1-s2.0-S1359645425002769-main.pdf,AgSbTe2,QA-AgSbTe2 (A = 24 h),AgSbTe2,1,No,Ag vacancy,24 h annealing,Ag,,Ag vacancy (24 h annealing) @ Ag site,,,,0.6 dimensionless,300 K
10.1016/j.actamat.2025.120985,1-s2.0-S1359645425002769-main.pdf,AgSbTe2,QA-AgSbTe2 (A = 24 h),AgSbTe2,1,No,Ag vacancy,24 h annealing,Ag,,Ag vacancy (24 h annealing) @ Ag site,,,,0.9 dimensionless,400 K
10.1016/j.actamat.2025.120985,1-s2.0-S1359645425002769-main.pdf,AgSbTe2,QA-AgSbTe2 (A = 24 h),AgSbTe2,1,No,Ag vacancy,24 h annealing,Ag,,Ag vacancy (24 h annealing) @ Ag site,,,,1.1 dimensionless,500 K
10.1016/j.actamat.2025.120985,1-s2.0-S1359645425002769-main.pdf,AgSbTe2,QA-AgSbTe2 (A = 24 h),AgSbTe2,0,No,,,,,,8.22 uW cm^-1 K^-2,298.37 uV K^-1,,1.18 dimensionless,548 K
