source_pdf,doi,base_composition,sample_id,full_formula,num_dopants,is_codoped,primary_dopant_element,primary_dopant_pct,primary_dopant_site,codopant_elements,all_dopants_detail,property,value,unit,temperature_value,temperature_unit,source_type,source_detail,notes,property_key,target_value,temperature_K
Band convergence and nanostructure modulations lead to high thermoelectric performance in SnPb0.04Te-y_ AgSbTe2.pdf,10.1016/j.mtphys.2021.100505,SnPb0.04Te-y%AgSbTe2,SnPb0.04Te-25%AgSbTe2,SnPb0.04Te-25%AgSbTe2,2,Yes,Ag,25%,Sn,Sb (25%) @ Sn,Ag (25%) @ Sn site; Sb (25%) @ Sn site,Seebeck coefficient,70.9,uV/K,300,K,body text,"Page 2, Section 2",,seebeck coefficient,70900.0,300.0
Enhanced thermoelectric performance and novel nanopores in AgSbTe2 prepared by melt spinning.pdf,10.1016/j.jssc.2010.10.036,AgSbTe2,MS-SPS,AgSbTe2,0,No,,,,,,Seebeck coefficient,285,uV/K,390,K,body text,Section 3.2,,seebeck coefficient,285000.00000000006,390.0
Ge-induced cation ordering for enhanced thermoelectric performance in AgSbTe2.pdf,10.1039/d5ta10429g,AgSbTe2,AgSbTe2,AgSbTe2,0,No,,,,,,Seebeck coefficient,265,uV/K,300,K,text,Results and discussion section,,seebeck coefficient,265000.0,300.0
Ge-induced cation ordering for enhanced thermoelectric performance in AgSbTe2.pdf,10.1039/d5ta10429g,AgSbTe2,AgSb0.94Ge0.06Te2,AgSb0.94Ge0.06Te2,1,No,Ge,0.06,Sb,,Ge (0.06) @ Sb site,Seebeck coefficient,294,uV/K,300,K,text,Results and discussion section,,seebeck coefficient,294000.0,300.0
Impurity band engineering and hierarchical defect scattering enable high zT in Co-doped AgSbTe2.pdf,10.1039/d5ta09240j,AgSbTe2,AgSbTe2 (pristine),AgSbTe2,0,No,,,,,,Seebeck coefficient,200,uV/K,298,K,body text,,,seebeck coefficient,200000.0,298.0
Impurity band engineering and hierarchical defect scattering enable high zT in Co-doped AgSbTe2.pdf,10.1039/d5ta09240j,AgSbTe2,AgSbTe2 (pristine),AgSbTe2,0,No,,,,,,Seebeck coefficient,250,uV/K,623,K,body text,,,seebeck coefficient,250000.0,623.0
Impurity band engineering and hierarchical defect scattering enable high zT in Co-doped AgSbTe2.pdf,10.1039/d5ta09240j,AgSbTe2,AgSbTe2 (pristine),AgSbTe2,0,No,,,,,,Seebeck coefficient,225,uV/K,648,K,body text,,,seebeck coefficient,225000.0,648.0
Impurity band engineering and hierarchical defect scattering enable high zT in Co-doped AgSbTe2.pdf,10.1039/d5ta09240j,AgSbTe2,AgSb0.97Co0.03Te2,AgSb0.97Co0.03Te2,1,No,Co,x=0.03,Sb,,Co (x=0.03) @ Sb site,Seebeck coefficient,80,uV/K,298,K,body text,,,seebeck coefficient,80000.0,298.0
Impurity band engineering and hierarchical defect scattering enable high zT in Co-doped AgSbTe2.pdf,10.1039/d5ta09240j,AgSbTe2,AgSb0.97Co0.03Te2,AgSb0.97Co0.03Te2,1,No,Co,x=0.03,Sb,,Co (x=0.03) @ Sb site,Seebeck coefficient,220,uV/K,648,K,body text,,,seebeck coefficient,220000.0,648.0
Influence of In doping on the thermoelectric properties of an AgSbTe2 compound with enhanced figure of merit.pdf,10.1039/c3ta14547f,AgSbTe2,AgSbTe2,AgSbTe2,0,No,,,,,,Seebeck coefficient,165,uV/K,300,K,Table 1,,,seebeck coefficient,165000.0,300.0
Influence of In doping on the thermoelectric properties of an AgSbTe2 compound with enhanced figure of merit.pdf,10.1039/c3ta14547f,AgSbTe2,Ag(Sb0.97In0.03)Te2,Ag(Sb0.97In0.03)Te2,1,No,In,0.03,Sb,,In (0.03) @ Sb site,Seebeck coefficient,190,uV/K,300,K,Table 1,,,seebeck coefficient,190000.0,300.0
Influence of In doping on the thermoelectric properties of an AgSbTe2 compound with enhanced figure of merit.pdf,10.1039/c3ta14547f,AgSbTe2,Ag(Sb0.95In0.05)Te2,Ag(Sb0.95In0.05)Te2,1,No,In,0.05,Sb,,In (0.05) @ Sb site,Seebeck coefficient,212,uV/K,300,K,Table 1,,,seebeck coefficient,212000.0,300.0
Influence of In doping on the thermoelectric properties of an AgSbTe2 compound with enhanced figure of merit.pdf,10.1039/c3ta14547f,AgSbTe2,Ag(Sb0.93In0.07)Te2,Ag(Sb0.93In0.07)Te2,1,No,In,0.07,Sb,,In (0.07) @ Sb site,Seebeck coefficient,230,uV/K,300,K,Table 1,,,seebeck coefficient,230000.0,300.0
Peng2014.pdf,10.1039/c3ta13729e,Yb0.2Co4Sb12,Matrix,Yb0.2Co4Sb12,0,No,,,,,,Seebeck coefficient,-152,uV/K,300,K,Table 1,,,seebeck coefficient,-152000.0,300.0
Peng2014.pdf,10.1039/c3ta13729e,Yb0.2Co4Sb12,Matrix-2 wt% AgSbTe2,Yb0.2Co4Sb12-2 wt% AgSbTe2,1,No,Te,less than y = 0.02,Sb,,Te (less than y = 0.02) @ Sb site,Seebeck coefficient,-167,uV/K,300,K,Table 1,,,seebeck coefficient,-167000.0,300.0
Peng2014.pdf,10.1039/c3ta13729e,Yb0.2Co4Sb12,Matrix-4 wt% AgSbTe2,Yb0.2Co4Sb12-4 wt% AgSbTe2,1,No,Te,less than y = 0.02,Sb,,Te (less than y = 0.02) @ Sb site,Seebeck coefficient,-202,uV/K,300,K,Table 1,,,seebeck coefficient,-202000.0,300.0
Peng2014.pdf,10.1039/c3ta13729e,Yb0.2Co4Sb12,Matrix-6 wt% AgSbTe2,Yb0.2Co4Sb12-6 wt% AgSbTe2,1,No,Te,less than y = 0.02,Sb,,Te (less than y = 0.02) @ Sb site,Seebeck coefficient,-228,uV/K,300,K,Table 1,,,seebeck coefficient,-228000.0,300.0
Peng2014.pdf,10.1039/c3ta13729e,Yb0.2Co4Sb12,Matrix-8 wt% AgSbTe2,Yb0.2Co4Sb12-8 wt% AgSbTe2,1,No,Te,less than y = 0.02,Sb,,Te (less than y = 0.02) @ Sb site,Seebeck coefficient,-176,uV/K,300,K,Table 1,,,seebeck coefficient,-176000.0,300.0
Rational design of entropy-driven AgSnSbTe3 with enhanced thermoelectric efficiency index for sustainable waste heat recovery.pdf,10.1039/d5se00534e,AgSnSbTe3,AgSnSbTe3 (This work),AgSnSbTe3,0,No,,,,,,Seebeck coefficient,96.6,uV/K,323,K,body text,,,seebeck coefficient,96599.99999999999,323.0
Rational design of entropy-driven AgSnSbTe3 with enhanced thermoelectric efficiency index for sustainable waste heat recovery.pdf,10.1039/d5se00534e,AgSnSbTe3,AgSnSbTe3 (This work),AgSnSbTe3,0,No,,,,,,Seebeck coefficient,151.4,uV/K,673,K,body text,,,seebeck coefficient,151400.0,673.0
"Structural, characterization and electrical properties of AgPbmSbTem+2 compounds synthesized through a solid-state microwave technique.pdf",10.1016/j.ijhydene.2015.12.205,AgSbTe2,AgSbTe2,AgSbTe2,0,No,,,,,,Seebeck coefficient,-49.6,uV/K,300,K,Table 4,,,seebeck coefficient,-49600.00000000001,300.0
"Structural, characterization and electrical properties of AgPbmSbTem+2 compounds synthesized through a solid-state microwave technique.pdf",10.1016/j.ijhydene.2015.12.205,AgSbTe2,AgPb2SbTe4,AgPb2SbTe4,1,No,Pb,m=2,Ag,,Pb (m=2) @ Ag site,Seebeck coefficient,-83.2,uV/K,300,K,Table 4,,,seebeck coefficient,-83200.00000000001,300.0
"Structural, characterization and electrical properties of AgPbmSbTem+2 compounds synthesized through a solid-state microwave technique.pdf",10.1016/j.ijhydene.2015.12.205,AgSbTe2,AgPb4SbTe6,AgPb4SbTe6,1,No,Pb,m=4,Ag,,Pb (m=4) @ Ag site,Seebeck coefficient,-6.8,uV/K,300,K,Table 4,,,seebeck coefficient,-6800.0,300.0
"Structural, characterization and electrical properties of AgPbmSbTem+2 compounds synthesized through a solid-state microwave technique.pdf",10.1016/j.ijhydene.2015.12.205,AgSbTe2,AgPb6SbTe8,AgPb6SbTe8,1,No,Pb,m=6,Ag,,Pb (m=6) @ Ag site,Seebeck coefficient,-104,uV/K,300,K,Table 4,,,seebeck coefficient,-104000.00000000001,300.0
"Structural, characterization and electrical properties of AgPbmSbTem+2 compounds synthesized through a solid-state microwave technique.pdf",10.1016/j.ijhydene.2015.12.205,AgSbTe2,AgPb8SbTe10,AgPb8SbTe10,1,No,Pb,m=8,Ag,,Pb (m=8) @ Ag site,Seebeck coefficient,-295.2,uV/K,300,K,Table 4,,,seebeck coefficient,-295200.0,300.0
"Structural, characterization and electrical properties of AgPbmSbTem+2 compounds synthesized through a solid-state microwave technique.pdf",10.1016/j.ijhydene.2015.12.205,AgSbTe2,AgPb8SbTe10,AgPb8SbTe10,1,No,Pb,m=8,Ag,,Pb (m=8) @ Ag site,Seebeck coefficient,-419.69,uV/K,338,K,body text,,,seebeck coefficient,-419690.0,338.0
"Structural, characterization and electrical properties of AgPbmSbTem+2 compounds synthesized through a solid-state microwave technique.pdf",10.1016/j.ijhydene.2015.12.205,AgSbTe2,AgPb10SbTe12,AgPb10SbTe12,1,No,Pb,m=10,Ag,,Pb (m=10) @ Ag site,Seebeck coefficient,-146.8,uV/K,300,K,Table 4,,,seebeck coefficient,-146800.0,300.0
"Transport and mechanical property evaluation of (AgSbTe)1 x(GeTe)x (x ¼ 0.80, 0.82, 0.85, 0.87, 0.90).pdf",10.1016/j.jssc.2009.05.024,AgSbTe2-GeTe,(AgSbTe2)0.20(GeTe)0.80,(Ag0.80SbTe1.90)0.20(GeTe)0.80,0,No,,,,,,Seebeck coefficient,80,uV/K,325,K,Table 1,,,seebeck coefficient,80000.0,325.0
"Transport and mechanical property evaluation of (AgSbTe)1 x(GeTe)x (x ¼ 0.80, 0.82, 0.85, 0.87, 0.90).pdf",10.1016/j.jssc.2009.05.024,AgSbTe2-GeTe,(AgSbTe2)0.17(GeTe)0.83,(Ag0.84Sb0.99Te2.01)0.17(GeTe)0.83,0,No,,,,,,Seebeck coefficient,73,uV/K,325,K,Table 1,,,seebeck coefficient,73000.0,325.0
"Transport and mechanical property evaluation of (AgSbTe)1 x(GeTe)x (x ¼ 0.80, 0.82, 0.85, 0.87, 0.90).pdf",10.1016/j.jssc.2009.05.024,AgSbTe2-GeTe,(AgSbTe2)0.15(GeTe)0.85,(Ag0.85Sb1.01Te1.95)0.15(GeTe)0.85,0,No,,,,,,Seebeck coefficient,100,uV/K,325,K,Table 1,,,seebeck coefficient,100000.0,325.0
"Transport and mechanical property evaluation of (AgSbTe)1 x(GeTe)x (x ¼ 0.80, 0.82, 0.85, 0.87, 0.90).pdf",10.1016/j.jssc.2009.05.024,AgSbTe2-GeTe,(AgSbTe2)0.13(GeTe)0.87,(Ag0.75SbTe2.20)0.13(GeTe)0.88,0,No,,,,,,Seebeck coefficient,62,uV/K,325,K,Table 1,,,seebeck coefficient,62000.0,325.0
"Transport and mechanical property evaluation of (AgSbTe)1 x(GeTe)x (x ¼ 0.80, 0.82, 0.85, 0.87, 0.90).pdf",10.1016/j.jssc.2009.05.024,AgSbTe2-GeTe,(AgSbTe2)0.10(GeTe)0.90,(AgSb1.04Te2.32)0.10(GeTe)0.90,0,No,,,,,,Seebeck coefficient,61,uV/K,325,K,Table 1,,,seebeck coefficient,61000.0,325.0
c0jm00138d.pdf,10.1039/c0jm00138d,AgSbTe2,x=50,AgSbTe2,0,No,,,,,,Seebeck coefficient,240,uV/K,room temperature,K,text,page 5,,seebeck coefficient,240000.0,
c8ta01393d.pdf,10.1039/c8ta01393d,GeSe-AgSbTe2,x=0.05,GeSeAg0.05Sb0.05Te0.1,3,Yes,Ag,5%,unclear,Sb (5%) @ unclear; Te (10%) @ unclear,Ag (5%) @ unclear site; Sb (5%) @ unclear site; Te (10%) @ unclear site,Seebeck coefficient,94,uV/K,301,K,body text,,,seebeck coefficient,94000.0,301.0
c8ta01393d.pdf,10.1039/c8ta01393d,GeSe-AgSbTe2,x=0.2,GeSeAg0.2Sb0.2Te0.4,3,Yes,Ag,20%,unclear,Sb (20%) @ unclear; Te (40%) @ unclear,Ag (20%) @ unclear site; Sb (20%) @ unclear site; Te (40%) @ unclear site,Seebeck coefficient,177,uV/K,301,K,body text,,,seebeck coefficient,177000.0,301.0
c8ta01393d.pdf,10.1039/c8ta01393d,GeSe-AgSbTe2,x=0.2,GeSeAg0.2Sb0.2Te0.4,3,Yes,Ag,20%,unclear,Sb (20%) @ unclear; Te (40%) @ unclear,Ag (20%) @ unclear site; Sb (20%) @ unclear site; Te (40%) @ unclear site,Seebeck coefficient,261,uV/K,608,K,body text,,,seebeck coefficient,261000.0,608.0
c8ta01393d.pdf,10.1039/c8ta01393d,GeSe-AgSbTe2,x=0.2,GeSeAg0.2Sb0.2Te0.4,3,Yes,Ag,20%,unclear,Sb (20%) @ unclear; Te (40%) @ unclear,Ag (20%) @ unclear site; Sb (20%) @ unclear site; Te (40%) @ unclear site,Seebeck coefficient,231,uV/K,754,K,body text,,,seebeck coefficient,231000.0,754.0
d3ee01033c.pdf,10.1039/d3ee01033c,AgSbTe2,AgSbTe2,AgSbTe2,0,No,,,,,,Seebeck coefficient,275,uV/K,300,K,text,page 7,,seebeck coefficient,275000.0,300.0
d3ee01033c.pdf,10.1039/d3ee01033c,AgSbTe2,Ag0.98SbTe2,Ag0.98SbTe2,1,No,Ag vacancy,2 mol%,Ag,,Ag vacancy (2 mol%) @ Ag site,Seebeck coefficient,235,uV/K,300,K,text,page 7,,seebeck coefficient,235000.0,300.0
d4cp01171f.pdf,10.1039/d4cp01171f,AgSbTe2,Ag0.927Sb1.07Te2.005,Ag0.927Sb1.07Te2.005,2,Yes,Ag,0.927,Ag,Sb (1.07) @ Sb,Ag (0.927) @ Ag site; Sb (1.07) @ Sb site,Seebeck coefficient,251,uV/K,300,K,body text,,,seebeck coefficient,251000.0,300.0
d4cp01171f.pdf,10.1039/d4cp01171f,AgSbTe2,Ag0.927Sb1.07Te2.005,Ag0.927Sb1.07Te2.005,2,Yes,Ag,0.927,Ag,Sb (1.07) @ Sb,Ag (0.927) @ Ag site; Sb (1.07) @ Sb site,Seebeck coefficient,251,uV/K,300,K,table,Table 2,,seebeck coefficient,251000.0,300.0
science.abb3517.pdf,,AgSbTe2,Pristine AgSbTe2,AgSbTe2,0,No,,,,,,Seebeck coefficient,260,uV/K,300,K,body text,,,seebeck coefficient,260000.0,300.0
science.abb3517.pdf,,AgSbTe2,Pristine AgSbTe2,AgSbTe2,0,No,,,,,,Seebeck coefficient,279,uV/K,300,K,body text,,,seebeck coefficient,279000.0,300.0
science.abb3517.pdf,,AgSbTe2,6 mol % Cd-doped AgSbTe2,AgSb0.94Cd0.06Te2,1,No,Cd,6 mol %,Sb,,Cd (6 mol %) @ Sb site,Seebeck coefficient,248,uV/K,300,K,body text,,,seebeck coefficient,248000.0,300.0
