source_pdf,doi,base_composition,sample_id,full_formula,num_dopants,is_codoped,primary_dopant_element,primary_dopant_pct,primary_dopant_site,codopant_elements,all_dopants_detail,property,value,unit,temperature_value,temperature_unit,source_type,source_detail,notes,property_key,target_value,temperature_K
d3ee01033c.pdf,10.1039/d3ee01033c,AgSbTe2,Ag0.98SbTe2,Ag0.98SbTe2,1,No,Ag vacancy,2 mol%,Ag,,Ag vacancy (2 mol%) @ Ag site,power factor,16,uW/cm.K2,573,K,text,page 7,,power factor,16000.0,573.0
d4cp01171f.pdf,10.1039/d4cp01171f,AgSbTe2,Ag0.927Sb1.07Te2.005,Ag0.927Sb1.07Te2.005,2,Yes,Ag,0.927,Ag,Sb (1.07) @ Sb,Ag (0.927) @ Ag site; Sb (1.07) @ Sb site,power factor,741,uW/cm.K2,300,K,body text,,,power factor,7410.0,300.0
d5dt01185j.pdf,10.1039/d5dt01185j,Ba2.75Pb1.1Sb4.1Se10-deltaTe_delta,Ba2.75Pb1.1Sb4.1Se8Te2,Ba2.75Pb1.1Sb4.1Se8Te2,1,No,Te,δ = 2,Te,,Te (δ = 2) @ Te site,power factor,0.012,uW/cm.K2,300,K,body text,,,power factor,0.00012,300.0
d5dt01185j.pdf,10.1039/d5dt01185j,Ba2.75Pb1.1Sb4.1Se10-deltaTe_delta,Ba2.75Pb1.1Sb4.1Se8Te2,Ba2.75Pb1.1Sb4.1Se8Te2,1,No,Te,δ = 2,Te,,Te (δ = 2) @ Te site,power factor,0.44,uW/cm.K2,773,K,body text,,,power factor,0.004399999999999999,773.0
d5dt01185j.pdf,10.1039/d5dt01185j,Ba2.75Pb1.1Sb4.1Se10-deltaTe_delta,Ba2.75Pb1.1Sb4.1Se8Te2,Ba2.75Pb1.1Sb4.1Se8Te2,1,No,Te,delta=2,Te,,Te (delta=2) @ Te site,power factor,0.012,uW/cm.K2,300,K,body text,,,power factor,0.00012,300.0
d5dt01185j.pdf,10.1039/d5dt01185j,Ba2.75Pb1.1Sb4.1Se10-deltaTe_delta,Ba2.75Pb1.1Sb4.1Se8Te2,Ba2.75Pb1.1Sb4.1Se8Te2,1,No,Te,delta=2,Te,,Te (delta=2) @ Te site,power factor,0.44,uW/cm.K2,773,K,body text,,,power factor,0.004399999999999999,773.0
materials-15-02843.pdf,10.3390/ma15082843,AgSbTe2-family,AgSb0.94Cd0.06Te2,AgSb0.94Cd0.06Te2,1,No,Cd,6 mol%,Sb,,Cd (6 mol%) @ Sb site,power factor,1.5,uW/cm.K2,300,K,figure,,Visually estimated from Fig. 8d,power factor,1.5e+17,300.0
materials-15-02843.pdf,10.3390/ma15082843,AgSbTe2-family,AgSb0.94Cd0.06Te2,AgSb0.94Cd0.06Te2,1,No,Cd,6 mol%,Sb,,Cd (6 mol%) @ Sb site,power factor,4.5,uW/cm.K2,900,K,figure,,Visually estimated from Fig. 8d,power factor,4.5e+17,900.0
materials-15-02843.pdf,10.3390/ma15082843,AgSbTe2-family,AgSbTe1.85Se0.15,AgSbTe1.85Se0.15,1,No,Se,0.15,Te,,Se (0.15) @ Te site,power factor,2.5,uW/cm.K2,300,K,figure,,Visually estimated from Fig. 8d,power factor,2.5e+17,300.0
materials-15-02843.pdf,10.3390/ma15082843,AgSbTe2-family,AgSbTe1.85Se0.15,AgSbTe1.85Se0.15,1,No,Se,0.15,Te,,Se (0.15) @ Te site,power factor,5.5,uW/cm.K2,900,K,figure,,Visually estimated from Fig. 8d,power factor,5.5e+17,900.0
s11664-024-11310-7.pdf,10.1007/s11664-024-11310-7,AgSbTe2,Ag0.7Sb1.12Te2,Ag0.7Sb1.12Te2,2,Yes,Ag,0.7,Ag,Sb (1.12) @ Sb,Ag (0.7) @ Ag site; Sb (1.12) @ Sb site,power factor,0.6,uW/cm.K2,750,K,table,Table IV,,power factor,6000.0,750.0
s11664-024-11310-7.pdf,10.1007/s11664-024-11310-7,AgSbTe2,Ag0.7Sb1.12Te2,Ag0.7Sb1.12Te2,1,No,Sb,1.12,unclear,,Sb (1.12) @ unclear site,power factor,0.6,uW/cm.K2,750,K,table,Table IV,,power factor,6000.0,750.0
science.abb3517.pdf,,AgSbTe2,Pristine AgSbTe2,AgSbTe2,0,No,,,,,,power factor,9.5,uW/cm.K2,300,K,body text,,,power factor,9500.0,300.0
science.abb3517.pdf,,AgSbTe2,6 mol % Cd-doped AgSbTe2,AgSb0.94Cd0.06Te2,1,No,Cd,6 mol %,Sb,,Cd (6 mol %) @ Sb site,power factor,13.6,uW/cm.K2,300,K,body text,,,power factor,13600.0,300.0
science.abb3517.pdf,,AgSbTe2,6 mol % Cd-doped AgSbTe2,AgSb0.94Cd0.06Te2,1,No,Cd,6 mol %,Sb,,Cd (6 mol %) @ Sb site,power factor,18.3,uW/cm.K2,543,K,body text,,,power factor,18300.0,543.0
ssrn-4526442.pdf,,AgSbTe2,AgSb0.94Ti0.05Te2,AgSb0.94Ti0.05Te2,2,Yes,Ti,0.05,Sb,Sb vacancy (0.01) @ Sb,Ti (0.05) @ Sb site; Sb vacancy (0.01) @ Sb site,power factor,1.5,uW/cm.K2,573,K,text,Page 10,,power factor,15000.0,573.0
ssrn-4526442.pdf,,AgSbTe2,AgSb0.94Ti0.05Te2,AgSb0.94Ti0.05Te2,1,No,Ti,0.05,Sb,,Ti (0.05) @ Sb site,power factor,1.5,uW/cm.K2,573,K,body text,page 5,,power factor,15000.0,573.0
